player,club,nationality,wc_qualified,league,club_apps_2526,club_save_pct_2526,club_clean_sheets_2526,club_ga_2526,psxg_ga_2526,gk_style,intl_apps_sep24_may26,intl_clean_sheets_sep24_may26,fitness_status,wc_squad_probability_pct,notes
Mike Maignan,AC Milan,France,YES,Serie A,33,77.7%,14,27,+8 (top Serie A),Sweeper-keeper — proactive off line; elite reflexes; vocal organiser,8,5,Fit,97,Undisputed France No.1 since Lloris; Euro 2024 Team of Tournament; PSxG-GA among Europe's best; extended Milan deal to 2031 Jan 2026
David Raya,Arsenal,Spain,YES,Premier League,36,68.7%,18,21,~+7 (PL leader),Elite sweeper-keeper — top percentile sweeping actions; initiates possession; 3rd successive PL Golden Glove,6,2,Fit,82,Near-certain Spain squad as backup to Unai Simón; Arsenal's ball-playing system suits him perfectly; could challenge for starts if Simón struggles
Emiliano Martínez,Aston Villa,Argentina,YES,Premier League,29,72.3%,8,32,~0 (slightly neg),Traditional shot-stopper — elite penalty/big-moment ability; powerful puncher; distribution adequate,10,5,Fit,97,Argentina's undisputed No.1; 3x Copa América/WC Golden Glove winner; signed new contract to 2029; slight club dip but elite internationally
Jordan Pickford,Everton,England,YES,Premier League,30,69.6%,10,34,+3.8 (4th PL),Distribution-focused — best long-ball GK in PL; precise kicking enables quick transitions; vocal and commanding,12,5,Fit,96,England's settled No.1 heading into 5th major senior tournament; Tuchel's most straightforward selection; 82+ caps
Unai Simón,Athletic Club,Spain,YES,La Liga,27,67.3%,5,37,slightly negative,Distribution-elite — 90.1% pass accuracy in WC qualifiers; 46.7% long ball accuracy; sweeping specialist,10,4,Fit,95,Spain's first-choice starter under De la Fuente despite domestic dip; international stats vastly outperform club numbers; Euro 2024 champion
Thibaut Courtois,Real Madrid,Belgium,YES,La Liga,41,70.7%,15,39,positive (IFFHS World Best GK 2025-26),Elite sweeper-keeper — supreme shot-stopping; best reflexes in world; commanding; strong with feet,6,2,Injury concern - quad/muscle injury Mar 2026; targeting return ~May 10; fitness concern with 1 month to WC,88,When fit the world's best keeper; returned to Belgium squad Mar 2025 under Garcia after Tedesco fallout; 107 caps / 2018 WC Golden Glove
Alisson Becker,Liverpool,Brazil,YES,Premier League,25,~64%,8,~30,negative (injury-impacted),Elite sweeper-keeper — 81% pass completion; exceptional footwork; sweeping and command elite,8,5,Injury concern - hamstring since March 18; very close to return but has not played since; race for June 11,80,When fit top-3 GK in world; set Brazil record 45 clean sheets in 75 caps Sep 2025; hamstring is the only concern; Weverton replaced him in March squad
Gregor Kobel,Borussia Dortmund,Switzerland,YES,Bundesliga,31,72.1%,13,27,~positive,Shot-stopper first — dominant in air and 1v1s; good distribution; BL one of strongest this season,8,5,Fit,95,Switzerland's undisputed No.1; record clean sheet streak in WC qualification; 19 caps; Switzerland in manageable Group B (Canada/Bosnia/Qatar)
Joan García,Barcelona,Spain,YES,La Liga,28,79.4%,12,15,+7.68 (best in La Liga),Modern ball-playing keeper — excellent footwork; proactive; Barcelona's short-pass system built around him,1,0,Fit,80,LaLiga's best GK by PSxG-GA (+7.68); confirmed for Spain's WC squad per May 9 reports; almost certainly 3rd GK behind Simón and Raya; only 1 senior cap
Gianluigi Donnarumma,Manchester City,Italy,NO,Premier League,32,72.0%,14,26,positive,Traditional shot-stopper — exceptional reflexes; elite aerial ability; imposing 6ft5 frame; improved with feet,0,0,Fit,0,COUNTRY NOT QUALIFIED – Italy did not qualify (3rd consecutive miss); Donnarumma has NEVER appeared at a World Cup; one of world's elite GKs watching from home
Dean Henderson,Crystal Palace,England,YES,Premier League,30,68.3%,10,36,+5.0 (2nd in PL),Shot-stopper — excellent reflexes; solid distribution; Palace captain; slightly more traditional style,0,0,Fit,55,PSxG-GA +5.0 is 2nd in PL — statistically strong case; but Pickford is No.1; battle for 3rd GK spot with Trafford and Pope; zero senior caps in this window
Matz Sels,Nottingham Forest,Belgium,YES,Premier League,26,70.4%,6,33,~neutral,Shot-stopper — solid distribution; 2024-25 PL Golden Glove winner (13 CS); this season below that peak,6,2,Fit,75,Belgium's confirmed backup to Courtois; 13 caps; previous Golden Glove pedigree; becomes key if Courtois is unfit
Mark Flekken,Bayer Leverkusen,Netherlands,YES,Bundesliga,18,68.5%,4,25,slightly negative,Distribution-strong — comfortable on ball; fits Leverkusen high-press; proactive sweeper,4,1,Fit,45,Netherlands' 3rd-choice GK behind Verbruggen (~27 caps) and Bijlow; only 4 CS in 18 BL apps below expectations; squad spot competitive
Jan Oblak,Atlético Madrid,Slovenia,NO,La Liga,28,68.1%,10,30,slightly negative,Traditional shot-stopper — legendary reflexes; positioning; command of box; still elite at 33; distribution adequate,5,2,Fit,0,COUNTRY NOT QUALIFIED – Slovenia eliminated; Oblak has NEVER appeared at a World Cup despite being top-5 GK in the world; Slovenia lost all qualifiers
Michele Di Gregorio,Juventus,Italy,NO,Serie A,25,73.2%,11,15,positive,Modern ball-playing keeper — comfortable with feet; excellent distribution; Juve's high-line needs him,4,1,Fit,0,COUNTRY NOT QUALIFIED – Italy did not qualify; strong club season one of Serie A's better GKs; no WC relevance
Guglielmo Vicario,Tottenham,Italy,NO,Premier League,41,62.4%,13,46,negative,Good footwork; proactive off line; suffered with Spurs leaky defence all season; 6 UCL CS in 10 apps suggests quality,3,0,Fit,0,COUNTRY NOT QUALIFIED – Italy did not qualify; UCL record (6 CS in 10) better than PL due to defensive context; no WC relevance
James Trafford,Manchester City,England,YES,Premier League,8,73.3%,1,~4,N/A (small sample),Traditional shot-stopper — excellent reflexes; returned to City for £31m Jul 2025 but Donnarumma entrenched as No.1,1,0,Fit,65,England U21 Euros winner; only 1 senior cap (debut vs Uruguay Mar 27 2026); backed by Tuchel's camp despite limited minutes; 8 of ESPN's experts back him as 3rd GK
Gerónimo Rulli,Olympique Marseille,Argentina,YES,Ligue 1,18,70.8%,5,15,~positive,Traditional shot-stopper — good positional sense; elite penalty-stopper (2021 UCL final shootout hero); distribution adequate,4,1,Fit,88,Confirmed Argentina No.2; filled in during Martínez's suspension Oct 2024 qualifiers; 15 caps; established relationship with Scaloni; guaranteed squad spot
Manuel Neuer,Bayern Munich,Germany,YES,Bundesliga,21,62.0%,7,19,slightly negative,Legendary sweeper-keeper — invented modern role; distribution world-class; reflexes declined at 39; shared duties with Urbig,0,0,Injury concerns (hamstring/calf); contract expires Jun 2026; RETIRED from international football Feb 2026,0,INTERNATIONALLY RETIRED – confirmed Feb 2026 will NOT return for WC 2026; Germany's GK battle between Baumann and Nübel; contract at Bayern expires end of season
Robert Sánchez,Chelsea,Spain,YES,Premier League,32,68.7%,9,35,slightly negative,Ball-playing keeper — comfortable with feet; won Club World Cup Golden Glove Jul 2025 (Chelsea beat PSG 3-0); positional errors have been a weakness,2,0,Fit,25,On fringes of Spain's WC squad; De la Fuente has Simon/Raya/Garcia as his three; Sánchez is 4th option alongside Remiro; Club WC Golden Glove is a feather in cap
Nick Pope,Newcastle,England,YES,Premier League,22,67.7%,7,28,~+3.9,Dominant aerial GK — powerful in box; excellent shot-stopping; less distribution-focused; more traditional style,5,2,Fit (stop-start season; concussion Nov 2025; possible Newcastle exit),30,34 years old; concussion Nov 2025 forced withdrawal; stop-start season at Newcastle; 40+ caps but form inconsistent; crowded England 3rd GK race
Lucas Chevalier,PSG,France,YES,Ligue 1,26,71.7%,10,28,slightly positive,Ball-playing keeper — excellent footwork; proactive; joined PSG as No.1 but benched by Enrique from Apr 2026 (Safonov replaced him),1,0,Fit,75,France's 3rd GK behind Maignan; despite losing PSG spot Deschamps views him as France's future No.1; 1 senior cap (Nov 2025); nearly certain to make 26-man squad as developmental backup
