player,club,nationality,wc_qualified,sub_position,league,club_goals_2526,club_assists_2526,club_apps_2526,competition_scope,intl_goals_sep24_may26,intl_assists_sep24_may26,intl_apps_sep24_may26,fitness_status,wc_squad_probability_pct,notes
Gabriel Magalhães,Arsenal,Brazil,YES,CB,Premier League,3,4,29,Premier League,1,0,12,Fit,95,With Militão ruled out Gabriel is Brazil's undisputed CB1; 15 clean sheets in 29 PL apps; 4.4 clearances/90
William Saliba,Arsenal,France,YES,CB,Premier League,1,0,39,All competitions,0,0,14,Fit,95,UEFA Euro 2024 Team of Tournament; France's best CB at 24; 4.40 clearances/90; 0.59 interceptions/90
Marc Guéhi,Manchester City,England,YES,CB,Premier League,3,3,32,Premier League,1,0,12,Fit,82,Joined Man City Jan 2026 for £20m from Palace; scored first England goal vs Serbia Sep 2025; FotMob avg 7.38
Virgil van Dijk,Liverpool,Netherlands,YES,CB,Premier League,4,3,45,All competitions,1,0,14,Fit,97,Netherlands captain; 90+ caps; 73.2% duel success rate; 6.76 clearances/90; still elite at 34
Pau Cubarsí,Barcelona,Spain,YES,CB,La Liga,1,0,26,All competitions,0,0,11,Fit,88,Only 17-18 years old; youngest Spain senior debutant ever; 1.37 tackles/90; 1.02 interceptions/90; left-footed
Nuno Mendes,PSG,Portugal,YES,LB,Ligue 1,4,5,19,All competitions,1,2,10,Managed - minor right thigh (training resumed),85,Nations League player of tournament Jun 2025; 4G/5A from LB is elite; knee sprain Nov 2025 + thigh knock May 2026
Ezri Konsa,Aston Villa,England,YES,CB,Premier League,0,0,25,Premier League,1,0,18,Fit,72,Scored first England goal Nov 2025; Vice-captain at Villa; 18 England caps; competing for 3rd/4th CB spot
Dean Huijsen,Real Madrid,Spain,YES,CB,La Liga,2,2,24,All competitions,0,0,5,Fit,78,Dutch-born; senior Spain debut Mar 2025; £50m Real Madrid move; aggressive ball-playing CB at 20; 7 yellows
Jonathan Tah,Bayern Munich,Germany,YES,CB,Bundesliga,2,1,41,All competitions,1,0,14,Fit,82,Joined Bayern on free after Leverkusen treble; 1.15 tackles/match UCL; first intl goal vs Switzerland Mar 2026
Pedro Porro,Tottenham,Spain,YES,RB,Premier League,1,2,39,All competitions,0,1,10,Fit,72,Europa League winner 2024-25; attacking RB; ~12 Spain caps; Carvajal's backup in the making; 8 yellows
Dayot Upamecano,Bayern Munich,France,YES,CB,Bundesliga,1,1,22,Bundesliga,0,0,14,Fit,90,35 caps; Saliba's established France partner; 34.06 km/h top speed; extended deal to 2030 Feb 2026
Achraf Hakimi,PSG,Morocco,YES,RWB,Ligue 1,5,10,31,All competitions,2,4,21,Injury concern - hamstring tear May 8; season over; ~5 weeks to Morocco opener,75,Morocco captain; 95 caps; 5G/10A including 3G/9A in UCL; Morocco first African WC qualifier Sep 2025
Nico Schlotterbeck,Borussia Dortmund,Germany,YES,CB,Bundesliga,4,1,26,Bundesliga,0,0,12,Fit,85,FotMob avg 7.58 — Germany's best-rated CB this season; 4 headed goals from set pieces; 59.38% duel win rate
Rúben Dias,Manchester City,Portugal,YES,CB,Premier League,2,0,25,Premier League,0,0,10,Injury concern - ankle; recovering; near return,80,Hamstring (Jan) then ankle (Mar/Apr) injuries; 25 PL apps; Portugal's linchpin CB when fit
Jules Koundé,Barcelona,France,YES,RB,La Liga,3,1,38,All competitions,1,2,12,Fit,95,France's undisputed first-choice RB; 1.95 tackles/90; 1.21 interceptions/90; MOTM vs Belgium Euro 2024 R16
Marc Cucurella,Chelsea,Spain,YES,LB,Premier League,1,4,31,Premier League,1,2,10,Fit,90,Euro 2024 Team of Tournament at LB; started the final; 1.88 tackles/90; 22 Spain caps; scored first Spain goal Sep 2025
Joško Gvardiol,Manchester City,Croatia,YES,LB,Premier League,2,2,15,Premier League,0,0,8,Injury concern - tibial fracture Jan 2026; back in Man City training May 2026,68,Croatia's best player; tibial fracture surgery Jan 4; back in training but no competitive minutes since; WC is the target
