player,club,nationality,wc_qualified,sub_position,league,club_goals_2526,club_assists_2526,club_apps_2526,competition_scope,intl_goals_sep24_may26,intl_assists_sep24_may26,intl_apps_sep24_may26,fitness_status,wc_squad_probability_pct,notes
Michael Olise,Bayern Munich,France,YES,AM,Bundesliga,15,18,31,All competitions,5,4,14,Fit,96,15G/18A is the best all-comps output by any midfielder in Europe this season; France's creative hub
Bruno Fernandes,Manchester United,Portugal,YES,AM,Premier League,8,19,35,All competitions,4,6,15,Fit,98,Record PL assists season (16) for Man Utd; FWA Player of the Year; Portugal captain
Pedri,Barcelona,Spain,YES,CM,La Liga,2,10,35,All competitions,2,5,14,Fit (minor injury history),91,Returned from Oct thigh injury; finished season strongly; Spain's most elegant CM
Vitinha,PSG,Portugal,YES,DM,Ligue 1,7,10,46,All competitions,2,4,14,Fit,93,6G in UCL elevated his stock enormously; Portugal's best pure midfielder
Rayan Cherki,Manchester City,France,YES,AM,Premier League,4,11,28,All competitions,1,2,6,Fit,52,11 PL assists in debut City season; only 6 France senior caps — not yet entrenched
Joshua Kimmich,Bayern Munich,Germany,YES,DM,Bundesliga,2,7,47,All competitions,1,4,13,Fit,97,103.7 passes/game at 92.5% completion; Germany's midfield anchor; first name on sheet
Declan Rice,Arsenal,England,YES,DM,Premier League,4,5,46,All competitions,2,3,15,Fit,99,Arsenal's and England's most important midfielder; first name on Tuchel's sheet; ~63 caps
Florian Wirtz,Liverpool,Germany,YES,AM,Premier League,6,9,30,All competitions,5,5,13,Fit,96,£116m Liverpool signing; took time to adapt; now delivering creative output Germany need
Elliot Anderson,Nottingham Forest,England,YES,CM,Premier League,4,2,33,Premier League,0,0,4,Fit,35,Chose England over Scotland (Aug 2025); functional engine for Forest; England CM spots crowded
Jude Bellingham,Real Madrid,England,YES,CM,La Liga,6,5,33,All competitions,3,2,10,Injury concern (hamstring Feb 2026; missed England camp; race against time),85,Hamstring injury worse than first feared; missed England's final pre-WC camp; Tuchel wants him regardless
Rodri,Manchester City,Spain,YES,DM,Premier League,3,4,31,All competitions,1,2,8,Serious injury concern (groin; sidelined May 2026),75,Current groin injury is Spain's biggest WC worry; first name on sheet if fit
João Neves,PSG,Portugal,YES,DM,Ligue 1,6,4,29,All competitions,2,2,12,Fit,87,21 years old; already pivotal for PSG; Portugal's DM future alongside Vitinha
Enzo Fernández,Chelsea,Argentina,YES,CM,Premier League,9,3,42,All competitions,3,3,12,Fit,90,Justified record £106m fee this season; 9G in 32 PL apps; 9 yellows a disciplinary concern
Martin Ødegaard,Arsenal,Norway,YES,AM,Premier League,1,6,24,Premier League,3,4,10,Injury concern (knee + shoulder throughout season),82,Norway captain; injury-interrupted season (24 PL apps only); critical to Norway's chances
Kevin De Bruyne,Napoli,Belgium,YES,CM,Serie A,5,3,22,All competitions,2,3,8,Injury concern (hamstring Oct 2025–March 2026),72,Age 34; joined Napoli on free; hamstring wiped out Oct–March; Belgium will include him if he can play
Morgan Gibbs-White,Nottingham Forest,England,YES,AM,Premier League,13,4,35,Premier League,2,1,8,Fit,68,Best PL output of any England AM this season (13G); Tuchel's trust is the only barrier
Fabián Ruiz,PSG,Spain,YES,CM,Ligue 1,1,4,25,All competitions,2,3,10,Injury concern (knee Jan 2026),73,Euro 2024 MOTM vs France; knee injury limited to 13 L1 apps; goodwill from Euros keeps him in frame
Eberechi Eze,Arsenal,England,YES,AM,Premier League,7,2,30,Premier League,2,1,10,Fit,72,£67.5m Arsenal signing from Palace; directness a different option for England; ~10 caps
Federico Valverde,Real Madrid,Uruguay,YES,CM,La Liga,5,8,32,All competitions,3,3,12,Fit,98,Uruguay's most complete midfielder; 5G/8A La Liga + 3G/4A UCL; first name on Bielsa's sheet
Moisés Caicedo,Chelsea,Ecuador,YES,DM,Premier League,3,1,34,Premier League,1,2,14,Fit,95,Ecuador's best player; £115m Chelsea anchor; 11 yellows 1 red — card count a structural concern
Christian Pulisic,AC Milan,USA,YES,AM,Serie A,8,3,23,Serie A,2,4,14,Fit,99,USMNT captain and best player; hosts nation; 84 caps / 32 career goals; 8G for Milan
Scott McTominay,Napoli,Scotland,YES,CM,Serie A,9,3,30,All competitions,5,2,12,Fit,98,13G/3A all comps; scored bicycle kick vs Denmark that sealed Scotland's WC qualification; Scotland captain
Cole Palmer,Chelsea,England,YES,AM,Premier League,9,1,28,Premier League,3,2,10,Injury concern (chronic pubalgia / groin all season),74,Managing groin issue all season; Tuchel warned he won't reward reputation over fitness
Dani Olmo,Barcelona,Spain,YES,AM,La Liga,7,7,26,All competitions,4,3,12,Fit,88,Euro 2024 Golden Boot; 7G/7A at Barça; Spain's rotation AM behind Yamal/Nico Williams
Arda Güler,Real Madrid,Turkey,YES,AM,La Liga,4,8,31,All competitions,4,3,12,Injury concern (right biceps femoris tear April 21; season over),78,6G/12A all comps before injury ended his season; targeting June 13 Turkey opener; race against time
Manuel Locatelli,Juventus,Italy,NO,DM,Serie A,1,2,28,Serie A,0,1,10,Fit,0,COUNTRY NOT QUALIFIED – Italy lost WC playoff final to Bosnia on penalties; third consecutive WC miss
Ryan Gravenberch,Liverpool,Netherlands,YES,DM,Premier League,5,5,40,All competitions,1,2,14,Fit,88,PL Young Player of Season 2024-25; Netherlands DM anchor; Liverpool's midfield controller
Hakan Çalhanoğlu,Inter Milan,Turkey,YES,DM,Serie A,9,4,22,Serie A,3,2,11,Serious injury concern (soleus/calf injury May 2026; out for club season),71,9G/4A when fit; soleus injury May 2026 means he needs time to rebuild fitness before WC
Sandro Tonali,Newcastle United,Italy,NO,CM,Premier League,0,2,33,All competitions,0,0,8,Fit,0,COUNTRY NOT QUALIFIED – Italy did not qualify; Tonali missed 2022 WC via betting ban; now misses again
Phil Foden,Manchester City,England,YES,AM,Premier League,7,3,26,All competitions,2,1,10,Injury concern (ankle injury England duty April 2026; inconsistent form),58,Tuchel said publicly Foden is "not a guarantee"; form drop-off significant from 2022-23 peak
Mohammed Kudus,Tottenham,Ghana,YES,AM,Premier League,2,5,19,All competitions,4,3,10,Fit,88,Ghana's best player by some distance; 19 PL apps limited by Spurs' poor season
Angelo Stiller,VfB Stuttgart,Germany,YES,DM,Bundesliga,2,6,32,Bundesliga,0,2,8,Fit,62,87.2% pass completion; 6 BL assists from deep; Germany's backup DM behind Kimmich
Exequiel Palacios,Bayer Leverkusen,Argentina,YES,CM,Bundesliga,0,1,15,All competitions,1,1,8,Fit (returning from adductor injury Sept 2025),65,Severe adductor injury Sept 2025; back Jan 2026; Argentina depth pushes him to fringe
Jobe Bellingham,Borussia Dortmund,England,YES,DM,Bundesliga,0,1,31,Bundesliga,0,0,0,Fit,5,ZERO senior England caps; only possible in catastrophic injury crisis; younger brother of Jude
Maghnes Akliouche,AS Monaco,France,YES,AM,Ligue 1,6,6,29,All competitions,1,1,5,Fit,55,Chose France over Algeria; Ligue 1 standout but France AM depth is extraordinary
Felix Nmecha,Borussia Dortmund,Germany,YES,CM,Bundesliga,5,3,37,All competitions,1,1,7,Fit,58,Iron-man season at Dortmund (37 apps); Germany's 4th/5th CM option
Malik Tillman,Bayer Leverkusen,USA,YES,AM,Bundesliga,6,0,26,All competitions,5,2,16,Fit,95,USMNT key creative force; 3G at 2025 Gold Cup; chose USA over Germany; 28 caps
Nicolò Barella,Inter Milan,Italy,NO,CM,Serie A,3,8,33,Serie A,0,0,8,Fit,0,COUNTRY NOT QUALIFIED – Italy did not qualify; Barella was among Europe's best CMs in 2025-26
Xavi Simons,Tottenham,Netherlands,YES,AM,Premier League,2,5,26,Premier League,3,3,14,RULED OUT – ACL rupture right knee April 25 2026 vs Wolves; out 7+ months,0,Netherlands qualified but Simons suffers devastating ACL; misses entire World Cup
