player,club,nationality,wc_qualified,league,club_goals_2526,club_assists_2526,club_apps_2526,competition_scope,intl_goals_sep24_may26,intl_apps_sep24_may26,fitness_status,wc_squad_probability_pct,notes
Harry Kane,Bayern Munich,England,YES,Bundesliga,33,5,29+,Bundesliga only,8,12,Fit,99,Top Bundesliga scorer for 2nd consecutive season; England captain; 100th cap Sept 2024
Kylian Mbappé,Real Madrid,France,YES,La Liga,41,5,41,All competitions,10,14,Fit,99,France captain; 50th intl goal June 2025; 56 career intl goals by Dec 2025
Lamine Yamal,Barcelona,Spain,YES,La Liga,17,13,35+,La Liga,6,14,Fit,99,Spain's best player; EURO 2024 winner; still only 18
Lautaro Martínez,Inter Milan,Argentina,YES,Serie A,16,5,26+,Serie A,6,10,Fit,95,Argentina captain; 75 career caps / 36 goals by Dec 2025
Mohamed Salah,Liverpool,Egypt,YES,Premier League,12,9,39,All competitions,8,10,Fit,95,Final Liverpool season; brace vs Djibouti sealed Egypt WC qualification Oct 2025
Vinícius Júnior,Real Madrid,Brazil,YES,La Liga,20,13,38,All competitions,3,12,Fit,95,Brazil's key winger; only 5 career intl goals despite 45+ caps — poor intl return
Bukayo Saka,Arsenal,England,YES,Premier League,8,8,30+,Premier League,3,10,Fit,92,First-choice England winger; consistent performer
Luis Díaz,Bayern Munich,Colombia,YES,Bundesliga,15,13,35+,Bundesliga,3,8,Fit,92,Standout signing; first Bayern player with 13G+13A in a single BL season
Jonathan David,Juventus,Canada,YES,Serie A,6,4,25,Serie A,10,14,Fit,90,Canada all-time top scorer (39 goals / 75 caps); 10+ goals since Sept 2024; hosts nation
Kenan Yıldız,Juventus,Turkey,YES,Serie A,10,6,35+,Serie A,2,10,Fit,85,Turkey's most important player; 23 career caps; 2 intl goals since Sept 2024
Julián Álvarez,Atlético Madrid,Argentina,YES,La Liga,8,4,28,La Liga,4,10,Fit,85,2022 WC winner; 51 career caps / 14 goals; proved big-game quality
Amad Diallo,Manchester United,Ivory Coast,YES,Premier League,8,4,30+,Premier League,5,10,Fit,80,18 career caps / 5 goals; WC qualifying hero for Ivory Coast
Raphinha,Barcelona,Brazil,YES,La Liga,14,5,28,All competitions,4,10,Fit,82,Brazil's top scorer in absence of Neymar (10 career goals); captain
Viktor Gyökeres,Arsenal,Sweden,YES,Premier League,14,1,30+,Premier League,5,8,Fit (returned from Nov 2025 hamstring injury),82,15 career intl goals; Sweden's standout forward alongside Isak
Désiré Doué,PSG,France,YES,Ligue 1,26,16,40+,All competitions,3,8,Fit,72,Breakout season (26G across 5 comps); still building senior France record
Alexander Isak,Liverpool,Sweden,YES,Premier League,3,1,16,All competitions,2,5,Injury concern (hamstring; out since Oct 2025),72,£125m signing; injury-ravaged season; world-class when fit
Ousmane Dembélé,PSG,France,YES,Ligue 1,10,6,28,Ligue 1,4,10,Fit,75,Established France starter; locked in by Deschamps per reports
Ollie Watkins,Aston Villa,England,YES,Premier League,16,4,48,All competitions,2,8,Fit,65,11G/2A PL + 5G/2A Europa League; likely squad pick as Kane backup
Rafael Leão,AC Milan,Portugal,YES,Serie A,9,3,28,Serie A,2,8,Fit,65,Part of Portugal 2025 Nations League winning squad; attacking depth limits starts
Jonathan Burkardt,Eintracht Frankfurt,Germany,YES,Bundesliga,10,3,19+,Bundesliga,0,5,Fit,55,5 career senior caps / 0 goals; new to senior squad after Bundesliga PoM Oct 2025
Erling Haaland,Manchester City,Norway,YES,Premier League,50,8,40+,All competitions,16,12,Fit,99,Broke PL goals record (35 in a season); Norway's all-time top scorer; WC qualifying top scorer (16G in 8 games)
Jérémy Doku,Manchester City,Belgium,YES,Premier League,5,5,22+,Premier League,2,8,Fit,72,Rotation at Man City limits minutes; regular Belgium squad member; scored in WC qualifying
João Pedro,Chelsea,Brazil,YES,Premier League,14,5,32,All competitions,2,6,Fit,42,Strong Chelsea season; competing for Brazil spot against Vinicius/Raphinha/Endrick/Rodrygo
Pedro Neto,Chelsea,Portugal,YES,Premier League,5,4,28,Premier League,3,8,Fit,68,2025 Nations League winner with Portugal; creative winger; regular squad member
Omar Marmoush,Manchester City,Egypt,YES,Premier League,1,3,10,Premier League,3,6,Injury concern (knee ligament; picked up vs Burkina Faso Sept 2025; very limited since),68,Was sensational at Frankfurt 2024-25 (28G/14A all comps); knee injury wrecked 2025-26 club season
Matheus Cunha,Manchester United,Brazil,YES,Premier League,9,2,28+,Premier League,1,5,Fit,52,£62.5m Man Utd signing from Wolves; Brazil squad bubble but not a regular starter
Karim Adeyemi,Borussia Dortmund,Germany,YES,Bundesliga,7,3,27,Bundesliga,1,8,Fit,50,11 career caps / 1 goal; inconsistent but in Germany plans
Romelu Lukaku,Napoli,Belgium,YES,Serie A,1,0,5,Serie A,2,4,Injured (high-grade thigh injury; ~5 months out; return timeline unclear),50,Belgium all-time top scorer (89 goals / 124 caps); fitness is everything for WC inclusion
Hugo Ekitiké,Liverpool,France,YES,Premier League,11,4,28,Premier League,2,7,Fit,48,7 senior France caps; impressive PL debut but France forward depth is extraordinary
Marcus Rashford,Barcelona,England,YES,La Liga,12,10,32,All competitions,1,5,Fit,45,Revitalised at Barcelona (7G/7A La Liga); still re-establishing England career under Tuchel
Nick Woltemade,Newcastle United,Germany,YES,Premier League,7,3,25+,Premier League,4,10,Fit,45,10 caps / 4 goals; all caps recent; scored brace vs Luxembourg in WC qualifying
Serge Gnabry,Bayern Munich,Germany,YES,Bundesliga,8,6,21,Bundesliga,2,6,Injury concern (groin; late-season absence),40,59 career caps / 26 goals; veteran but late injury clouds World Cup availability
Antony,Real Betis,Brazil,YES,La Liga,7,6,28,La Liga,0,4,Fit,38,Improved season at Betis but not featuring regularly for Brazil
Mason Greenwood,Marseille,England,YES,Ligue 1,18,7,36,All competitions,0,0,Fit (no fitness issues; excluded by FA),5,Outstanding club form (15G/6A L1 + 3G/1A CL) but excluded from England squads
Matías Soulé,Roma,Argentina,YES,Serie A,3,2,18+,Serie A,0,2,Fit,22,Only 2 senior Argentina caps; yet to establish international role
Bryan Mbeumo,Manchester United,Cameroon,NO,Premier League,9,3,28+,Premier League,3,8,Fit,0,COUNTRY NOT QUALIFIED – Cameroon failed to reach 2026 World Cup
Serhou Guirassy,Borussia Dortmund,Guinea,NO,Bundesliga,16,1,28,Bundesliga,3,6,Fit,0,COUNTRY NOT QUALIFIED – Guinea did not qualify
Rasmus Højlund,Napoli (loan from Man Utd),Denmark,NO,Serie A,9,2,23,Serie A,3,8,Fit,0,COUNTRY NOT QUALIFIED – Denmark lost playoff final to Czechia
Khvicha Kvaratskhelia,PSG,Georgia,NO,Ligue 1,7,4,25,Ligue 1,3,8,Fit,0,COUNTRY NOT QUALIFIED – Georgia did not qualify
